definition,title
a headset that allows you to attach a fork to your bike with a threadless steering tube. ,AHEADSET
a six-sided wrench (hexagonal) that is used to loosen and tighten hex:head bolts. ,ALLEN KEY
the bolt that firmly fixes a cable to a component,ANCHOR BOLT
the sharpest point of a corner. ,APEX
(all-terrain bike) a mountain bike. ,ATB
"the alert and well-balanced position you ride in when you approach, or ride on, rough terrain. It is characterized by bent knees, rear above the saddle, elbows slightly bent, and a raised head. 
",ATTACK POSITION
"to crash head first.  ""man, i totally augered in and split my helmet!""",AUGER
the shaft on which your wheelset rotates. ,AXLE
"the adjustment knobs found on rear derailleurs, shifters, and brake levers. Used for fine adjustments. ",BARREL ADJUSTER
bottom bracket. ,BB
a category for beginning racers on the NORBA race schedule. ,BEGINNER
an embankment on a trail. ,BERM
"an attachment bolt (bar-end to handlebar, seatpost to frame, etc.). ",BINDER BOLT
when you run out of energy. ,BONK
This refers to the section of the trail which is covered with big boulders.,BOULDER GARDEN
heart rate reference (beats per minute). ,BPM
the pivot point attached to a frame or fork that the brake arms mount to. ,BRAKE BOSS
the block of material used to create friction on a rim or rotor so that you can stop. ,BRAKE PAD
holds the brake pad. ,BRAKE SHOE
a method of steel frame construction that involves brass or silver solder to connect frame tubes.,BRAZING
a hop that you incorporate into your riding technique so you can clear obstacles such as logs without stopping. ,BUNNY HOP
"a sleeve that is used as a bearing on suspension forks, suspension swing arms, pedals, and derailleur jockey wheels. ",BUSHING
tubing that has been manipulated so it is thinner in the middle and thicker near the welded ends. Allows for lighter and stronger frames. ,BUTTED TUBING
wire (braided or strands) used to operate derailleurs and brakes.,CABLE
cap or solder used to keep the end of a cable from fraying. ,CABLE END
a bolt that attaches cables to the brakes and derailleurs. ,CABLE FIXING BOLT
the sheath through which a cable passes,CABLE HOUSING
a brake that has two separate arms pulled at the same time towards the rim by a cable.,CANTILEVER BRAKE
a series of links held together with pins. ,CHAIN
an imaginary straight line which runs from the middle chain ring to the middle cogset.,CHAIN LINE
"the dragging and jamming of your chain that occurs in sloppy conditions, or when little burs occur on your chainrings that cause the chain to bunch up.",CHAIN SUCK
a tool used to remove the rear cogs of a freehub,CHAIN WHIP
a toothed sprocket attached to the crankarm,CHAINRING
the bottom tubes of the rear triangle of a frame,CHAINSTAYS
a perfect ride through a tough section.,CLEAN
a pedal that has spring-loaded cleats that clip to a riders shoe. ,CLIPLESS PEDAL
a rider who weighs more than 200 pounds. ,CLYDESDALE
"a sprocket located on the drive side of a rear hub. 
",COG
the absorbtion of the speed of compression of a shock's spring on impact. ,COMPRESSION DAMPING
the levers of a crankset that your pedals attach to. ,CRANKARM
"the bottom bracket, crankarms, and chainrings go together to make up the crankset. ",CRANKSET
a race that involves laps around a short course,CRITERIUM
a traditional MTB race that mixes many types of riding conditions into one coarse. ,CROSS-COUNTRY
"an off-road race that involves riders having to dismount and run over obstacles, carrying their bikes. ",CYCLOCROSS
to put your foot down while riding so you don't fall over,DAB
a mechanism in a suspension fork or shock that helps determine the compression rate of the spring. ,DAMPER
"the deadening, or absorbtion, of a spring's compression rate. ",DAMPING
"a mechanical device that moves the chain over the cogs or chainrings, changing gears. ",DERAILLEUR
the replaceable extension that attaches the rear derailleur to the frame at the right side rear dropout,DERAILLEUR HANGER
"when everything on your bike is running smoothly, you are said to be ""dialed in""",DIALED IN
the most recognized bicycle frame shape,DIAMOND FRAME
"brakes that mount near the hub, and squeeze pads against a rotor mounted to the hub. They can be operated both mechanically or hydraulically.",DISC BRAKE
the plastic spoke protector that sits between the cassette and the spokes on the rear wheel of a bicycle.  ,DORK RING (DORK DISK)
two trails that run parallel to each other (also called tractor trail or Jeep trail). ,DOUBLETRACK
the tube of a frame that connects the head tube to the bottom bracket. ,DOWN TUBE
a type of racing held on ski slopes - fastest rider to the bottom wins. ,DOWNHILL
shifting to a lower gear. ,DOWNSHIFT
"the parts of a bike that includes the crankarms, chainrings, bottom bracket, front derailleur, chain, rear derailleur, and freewheel. ",DRIVETRAIN
A ledge that can be ridden over with a drop on one side.,DROP OFF
the slots in the fork and rear triangle that the axle of the wheel mount to. ,DROPOUTS
Dropping in a steep single track when other riders are around.,DROPPING IN
a bike that has both front and rear suspension.,DUALIE
a compressible erethane material used in suspension systems. ,ELASTOMER
a crash that involves you flying over your handlebars,ENDO
a racing category of the NORBA racing series. It is between Sport class and semi-pro. ,EXPERT
the cap on the end of a cable housing.,FERRULE
a back country dirt or gravel road wide enough for emergency vehicles to use. ,FIRE ROAD
a non-adjustable cup on the drive side of the bottom bracket. ,FIXED CUP
the location on the hub where the spoke heads are anchored. ,FLANGE
the part of the bike that attaches the front wheel to the frame. ,FORK
the piece of the fork that joins the two fork legs to the steering tube. ,FORK CROWN
"A derogatory term describing anyone who's equipment is ill-suited for the task, or they are vastly over-equipped for the situation.",FRED
the cluster of cogs on the rear wheelset that allows you to stop pedalling while the bike is still moving forwards. ,FREEWHEEL
the old-style shifter (non-indexed). Relied on cable tension maintained by friction washers and bolts. ,FRICTION SHIFTER
"the main triangle of a frame consisting of the head tube, top tube, down tube, and seat tube. ",FRONT TRIANGLE
"someone who always rides in too high a gear, stomping on the pedals.",GEAR MASHER
"a really long period of time. Derived from the name of a LBS that was a little slow getting work done. ""Man, that roadclimb to the trailhead was almost a gevert long.""",GEVERT 
all the colorful parts and pieces that you can add or change out on a bike.,GIBLETS
"extreme technical sections. Characterized by very rough, rooty, slippery, or rocky sections. Commonly found in the Pacific Northwest and New England. ""He has got some great bike handling skills and can really scream through the gnarl.""",GNARL 
"treacherous, extreme. ""That vertical drop was sheer gonzo.""",GONZO 
"the lowest gear available on a bike, which only a grandmother would need to use; designed for steep uphill climbing, but extremely easy to pedal in on flat ground.",GRANNY GEAR
a fall.,GRAVITY CHECK
a long uphill climb.,GRINDER
"""All that dried mud and sand left me with a loud case of the grindies in my drivetrain.""",GRINDIES
"a very difficult climb, requiring use of the granny gear.",GRUNT
a bicycling commuter.,GUTTER BUNNY
a mountain bike that has no rear suspension.,HARDTAIL
the framesets front tube. ,HEAD TUBE
the cup and bearing mechanism that allows a fork to turn freely in the head tube of the frame.,HEADSET
the part of the wheelset that the axle passes through and the spokes are attached to. ,HUB
a brake that uses oil pressure to move the brake pads against the brake surface.,HYDRAULIC BRAKE
International Mountain Biking Association. An organization for trail advocacy.,IMBA
all the junk on a bike that impeeds performance and looks bad.,IMPEDIMENTIA
"a shifter that shifts into fixed gear positions as it moves through its ""clicks"". ",INDEX SHIFTER
a crash.,INVOLUNTARY DISMOUNT
to accelerate quickly; to go very fast.,JET
Circular cog shaped pulleys on the rear derailleur. ,JOCKEY WHEELS
"when a riders face gets covered with spots of mud, making him look like ""John Boy"" on the Waltons. ""I hit that mudhole and got John boy'ed big time.""",JOHN BOY'ED
