definition,title
"(Pronounced ""A-zero"") Rating given to using a bolt for aid. No possibility of falling because weight is supported by something that cannot fail.",A0
"This is a large, edible, marine gastropod of the genus Haliotis, with an ear-shaped shell.",ABALONE
"This means to decrease in amount, intensity, or degree.
",ABATE
freefalling on rope,ABSEIL
Descending by sliding down a rope. Americans usually call this rappelling.,"ABSEIL, TO"
"This is the temperature at which some substances possess no thermal energy, equal to - 273.15 C or - 459.57 F.",ABSOLUTE ZERO
"This refers to a structure that supports, as at the end of a bridge.",ABUTMENT
"This is a bottomless pit, a yawning gulf, an immeasurably profound depth or void.
",ABYSS
This is to accustom or become accustomed to new surroundings or circumstances; to adapt.,ACCLIMATE
This refers to the fear of heights.,ACROPHOBIA
 section for more details.,ACTIVE PROTECTION
"The flat cutting end of the ice axe head. 
",ADZE 
"Originally called direct aid or artificial climbing, aid climbing is a means of ascent where the climber’s weight is supported primarily, or entirely, by slings attached to a device attached to the rock, rather than by the climber’s own hands, feet and other body parts as in free climbing.",AID CLIMBING
"Ladder made of webbing used for Aid Climbing, or as footholds for the belayer on a multi pitch climb.",AIDER
 section.,AMS
The path or route starting a technical climb. It may actually be a walk but is sometimes as dangerous as the climb itself. ,APPROACH
The outside corner of rock. ,ARETE
A.T.C.=Air Traffic Controller. ATC is a proprietary (Black Diamond) belay device designed to facilitate smooth feeding of rope and dissipate more heat than a sticht plate due to the larger surface area.  The braking and feeding of rope work in the same fashion as with a sticht plate.,ATC
 section.,BACK CLIPPING
"This means to give up on a rock climb or summit attempt for reasons that range from the legitimate (weather, lateness, injury, fatigue) to the suspect (hunger, thirst, discomfort, job obligations, waiting wives, husbands or significant others). 
",BAIL
 section.,BARN DOOR
"This is a dark, dense volcanic rock.",BASALT
 section.,BELAY DEVICE
 section for more information.,BELAY LOOP
 section and know more about Belaying.,BELAYING
Information about a route. Beta may be in the form of verbal or written advice on the techniques used or in watching another climber make the moves.,BETA
"This is fancy foot work that involves using one foot to push against a hold and the other to pull on the same hold. Typically, the second foot is used with a toe hoot for balance.",BICYCLE
This is a passive camming device that is a telescoping tube chock. This chock has a spring-loaded inner sleeve that pops out to bridge a crack when a release button is pressed. The extended sleeve is then locked into place by spinning the collar down snugly against the outer tube. The sling attachment on one side creates a camming action when the chock comes under load.,BIG BRO
"(n.) This is a loop or bend made from the slack in a rope. A ""bight"" is formed to tie many knots, including a ""figure-eight-on-a-bight"".",BIGHT
"Also known as Bivi or Bivy, a Bivouac is a sleeping place on an unexpected location in the middle of a route. It could be a large comfortable ledge, or even an uncomfortable night hanging from a stance.",BIVOUAC
"Has extremely high quality and dependability. Usually refers to a handhold, but can also describe a piece of equipment, a campsite or any generally positive or beneficial item or state of being. 
",BOMBER
These are large angle pitons that vary from 2 to 6 inches in width and can double as large chocks. ,BONGS
"The practice of climbing on large boulders. Typically done close to the ground, so crash pads and spotting are used as protection instead of belay ropes. ",BOULDERING
"A form of bouldering, this is done on buildings, hence the name.",BUILDERING
This refers to the art of bouldering on buildings.,BUILDERING
 section.,CAMPUS
 section.,CARABINER
