definition,title
"In repetitive diving, the total time actually spent under water (in minutes) from the beginning of descent until leaving the bottom for a direct continuous ascent to the surface or safety stop.",Actual Bottom Time (ABT)
The time limit for a repetitive dive that accounts for residual nitrogen.,Adjusted No Decompression Limit
A machine that compresses or pressurises air to fill your cylinders before going diving.,Air Compressor
The force per unit area exerted by the weight of air.,Air Pressure
"Any device a diver can use in place of the primary regulator, in order to make an ascent while still breathing normally.",Alternate Air Source
Absence of oxygen caused by inhaling a breathing gas that contains no oxygen or being unable to inhale any breathing gas.,Anoxia
Underwater breathing equipment consisting of a diving cylinder and diving regulator.,Aqua-lung
Principle that states that a body immersed in a fluid is buoyed up by a force equal to the weight of the displaced fluid.,Archimedes Principle
An inert gas that makes up less than one percent of air.,Argon
"The proper speed for ascending, which is no faster than 18 metres/60 feet per minute. A rate slower is acceptable and appropriate.",Ascent Rate
1 ata is the atmospheric pressure at sea level.,Atmosphere Absolute (ATA)
Leaving the dive boat by sitting on its rail/pontoon and rolling backwards into the water.,Back Roll Entry
Short for barometric pressure. The method of measurement of air pressure used throughout most of the world and by the compressed gas industry - also a place where divers meet after a long hard day of diving.,Bar
"Injury caused by unequal pressure between a space inside the body and the ambient pressure, or between two spaces within the body - usually caused by a too rapid ascend.",Barotrauma
See - decompression sickness,Bends
"Garment which provides full-length, stylish abrasion protection when diving in conditions where a full wetsuit may not be needed. Body suits provide minimal insulation and may be worn under a traditional wetsuit for added insulation and ease of suiting up.",Body Suits
Neoprene boots worn with open heel fins.,Boots
The commonly used name for a scuba cylinder in the United Kingdom.,Bottle
"The time from the beginning of descent until the beginning of a direct, continuous ascent to the surface or safety stop.",Bottom Time
"In recreational diving, a bounce dive is a descent to maximum depth and then an ascent back to the surface with the least delay, in a dive profile resembling a spike. In commercial diving, bounce diving is the alternative to saturation diving.",Bounce Dive
"Under constant temperature, the volume of a given mass of gas is inversely proportional to the absolute pressure of the gas.",Boyle's Law
Your diving partner. Very valuable in times of trouble. A good buddy makes diving a lot more enjoyable.,Buddy
"Two divers sharing the same demand valve, generally after an out-of-gas emergency.",Buddy Breathing
Pair or sometimes threesome of divers that dive together as a team for safety.,Buddy System
"Upward force exerted by a fluid on any body immersed in it. Buoyant force can be explained in terms of Archimedes' principle.

Scuba divers with good buoyancy control are able to stay neutrally buoyant at any required depth.",Buoyancy
Diving equipment worn by divers to provide life-saving emergency buoyancy and the ability to control ascent and descent rates.,Buoyancy Compensator or BCD
Is due to incomplete elimination of carbon dioxide.,Carbon Dioxide Poisoning
Usually due to compressor maintenance errors.,Carbon Monoxide Poisoning
"Proof of completed diver training and evidence of experience. If you forget it at home you might have problems getting on the dive boat or filling your cylinder. Don't despair, many dive shops can check your records on-line these days.",Certification Card
The amount of change in either volume or pressure of a given volume of gas is directly proportional to the change in the absolute temperature.,Charles' Law
The stick is a light source in which the two chemicals inside the stick mix to produce light. Divers attach these sticks to their tank valves or snorkels to increase the ability to be seen by other divers on night dives.,Chemical Light Stick
"Term used for attracting sharks with a mixture of blood and fish parts.

Can be used to describe your buddy's behaviour when vomiting overboard from seasickness.",Chumming
"aka, a rebreather, a device that reuses air by scrubbing or removing the carbon dioxide from it. There are usually no bubbles emitted.",Closed Circuit Breathing Apparatus
A machine used to increase the volume of usable air in a diving cylinder by raising its pressure.,Compressor
A diver rescue technique.,Controlled Buoyant Lift
"A cylinrical metal container used to safely store high pressure air. Most are made of steel or aluminum.

Cylinders came in a variety of air capacities depending upon their pressure rating and size. In the metric system, the most common sizes are 8, 10, 12 and 15 litres of water capacity.

In the USA, cylinders are commonly referred to as tanks. In the UK, cylinders are commonly referred to as bottles.",Cylinder
