definition,title
,
"The point where a car is closest to the inside edge of the track. Drivers try to ""hit"" the apex in order to take the straightest line and maintain maximum speed. See also""Early Apex"" and ""Late Apex"".,The steel crash barriers designed to protect areas around the race track.,The angle that wheels are tilted inward or outward from a vehicle. If the top of the wheel is tilted outward, the camber is positive. If the top of the wheel is tilted inward, the camber is negative.,An ""S"" shaped track configuration generally implemented into a fast section of the track in order to slow cars down.,Volunteers stationed at certain points deemed to be dangerous around the race track in order to help drivers in case of collisions, accidents or track issues.,Short for ""Data Acquisition;"" the information collected by electrical equipment installed in a race car. The data is designed to show what the car is experiencing during each lap. Data is usually provided for things like MPH, steering angle, engine temperatures, throttle/brake input, etc.,Driving Event; an event where amateur drivers have the opportunity to drive on an actual race track. Driving conditions are strictly monitored to ensure a safe and fun experience.,Turning into a corner prior to the optimum timing, producing a situation where the driver must correct in order to reposition the angle of the car.,The person standing on the tower above the Start/Finish Line who communicates with drivers by waving different colored flags in the air.,A track that has very low amounts of grip due to a lack of rubber and/or heat. A track is ""green"" following rain or when there's been little or no recent on-track activity.,A sharp turn, commonly in the range of 180 degrees.,When a car is being driven at or near its limit. Also referred to as being ""on a Flier"".,The area where cars stage prior to going on-track.,The International Motor Sports Association.,The tool used by racing pit crews to remove and install parts quickly on the track. Also an ""Air Wrench"" or ""Air Gun"".,The interior portion of the track, which typically includes the garage area.,Concrete barriers used to protect areas around the track.,The point just past the ideal turn-in point. In a late apex, the driver goes past the optimum turn in point and makes a hard turn into the corner at a slow speed.,Rocks, chunks of rubber and debris that collect off the racing line that when entered, can cause an instantaneous and severe loss of grip. Also known as ""Clag"".,The garage area of a race track.,The area designated for teams to set up temporary garages during races accessible to (""pit out"") and from (""pit in"") the track. Each team is allotted one pit area (or space) per car. Drivers pit so crews can refuel, change tires and make any other repairs or adjustments. Also known as ""the pits."",The first test drive to test a new car, setup or repair.","Apex,Armco,Camber,Chicane,Corner Worker,Data,DE,Early Apex,Flagman,Green Track,Hairpin,Hot Lap,HOT PITS or HOT GRID,IMSA,Impact Gun,Infield,K Rail,Late Apex,Marbles,Paddock Area,Pit Row,Shakedown"
"The point where a car is closest to the inside edge of the track. Drivers try to ""hit"" the apex in order to take the straightest line and maintain maximum speed. See also""Early Apex"" and ""Late Apex"".",Apex
The steel crash barriers designed to protect areas around the race track.,Armco
"The angle that wheels are tilted inward or outward from a vehicle. If the top of the wheel is tilted outward, the camber is positive. If the top of the wheel is tilted inward, the camber is negative.",Camber
"An ""S"" shaped track configuration generally implemented into a fast section of the track in order to slow cars down.",Chicane
"Volunteers stationed at certain points deemed to be dangerous around the race track in order to help drivers in case of collisions, accidents or track issues.",Corner Worker
"Short for ""Data Acquisition;"" the information collected by electrical equipment installed in a race car. The data is designed to show what the car is experiencing during each lap. Data is usually provided for things like MPH, steering angle, engine temperatures, throttle/brake input, etc.",Data
Driving Event; an event where amateur drivers have the opportunity to drive on an actual race track. Driving conditions are strictly monitored to ensure a safe and fun experience.,DE
"Turning into a corner prior to the optimum timing, producing a situation where the driver must correct in order to reposition the angle of the car.",Early Apex
