definition,title
"See ,
","103
"
"In the USA, without prior authorization, Hang gliders are not allowed to fly in controlled airspace. All airspace at or above 18,000' , is controlled. When a pilot gets higher than this they will often say they got to 17999.
","17999
"
"This is a measurement of altitude above the ground as opposed to above sea level.  See AGL.
","Absolute Altitude
"
"A stall that occurs at a higher than normal speed.  Situations where an accelerated stall can occur include turns, towing, and abrupt weight shifts.
","Accelerated stall
"
"see ,
","Advanced Pilot Rating
"
"A method of launching a hang glider.  In this method, the pilot and glider are attached via a tow rope to the back of an ultralight aircraft.  The ultralight tows the pilot into the sky and the pilot releases himself and his glider from the tow rope at a predetermined altitude or when given a visual signal from the pilot of the ultralight.  This method is very advantageous as the pilot can release while he is in the middle of lift.
","Aerotow
"
"Above Ground Level. This is a measurement of altitude above the ground as opposed to above sea level.  Same as Absolute Altitude.
","AGL
"
"Aviation Induced Divorce Syndrome.  Bachelorhood that results from on obsession with flying.
","AIDS
"
"Landing pattern adopted from the Airfield Traffic Pattern. The three relevant parts are the downwind, base and final legs, forming three sides of a rectangle. Also called a DBF pattern. A DBF pattern may be performed using either two left-hand or two right-hand 90 degree turns. If there's traffic near a LZ a common landing pattern helps keeping a safe distance. The means all pilots should perform the same left-hand or right-hand DBF approaches. 
"," Aircraft Approach
"
"(See also ,)
",
"The aerodynamic, lift producing, profile of any flying wing.
","Airfoil
"
"the rate at which the air flows over the wing. Having too slow an air speed can cause to glider to stall and dive. Not to be confused with ground speed
","Airspeed 
"
"Instrument used to measure altitude over the ground and/or above sea level. Often incorporated into modern flight instruments.
","Altimeter
"
"The angle between the chord line of an airfoil and the direction of the on coming airflow. With a higher angle of attack a hang glider slows down, possibly stalling. With a lower angle of attack a hang glider speeds up while typically losing altitude.
","Angle of Attack
"
"Glide path taken on set-up for landing. Typically this involves a down wind, base (cross wind) and final (into the wind) heading, ending with a properly timed flair and gentle touch down.  
","Approach
"
" Air Speed
","AS
"
"The ratio of wingspan to surface area of a wing.  A high aspect ratio means that a wing is narrow from leading edge to trailing edge, and long from tip to tip.  A high aspect ratio wing is more aerodynamically efficient than a low aspect ratio wing.  This is due to the lesser amount of , produced by high aspect ratio wings.  High performance Hang Glider like the WillsWing , or the Moyes , have higher aspect ratios than beginner gliders like the WillsWing ,.
","Aspect Ratio
"
"Secondary hang strap used as a precaution against possible failure of the primary hang strap. Hang gliding harnesses are attached to the keel (frame member) of the hang glider by way of such hang straps. 
","Back Up
"
"See ,
","Bagwing
"
"Second to last section (or leg) of a typical aircraft approach made by hang glider pilots while setting up to land. See also Approach. The base leg is typically flown across, or perpendicular to, the prevailing wind and takes place just before turning onto final which is into the wind. 
","Base Leg
"
"See ,
","Basetube
"
"Thin, curved length of tubing inserted into a sail. Battens help create and define the airfoil of the hang glider sail.  The typical hang glider has anywhere between 12 and 30 battens. Those gliders with more battens are typically of higher performance wings. 
","Batten
"
"see ,
","Beginner Pilot Rating
"
"Betty Pfeiffer, owner of High Energy Sports, maker of harnesses and teacher of parachute repack clinics.
","Betty
"
"Sideways movement of a flexwing sail inside the airframe in flight, which aids in turning.
","Billow Shift
"
"A pilot who flies both hang gliders and paragliders.
","Biwingwal
"
"Expression referring to not being able to fly due to overly strong winds.
","Blown out
"
"Expression indicating really strong winds. If it is blowing like stink, you will definitely be blown out.
","""Blowing like stink""
"
"An area of the sky clear of clouds.
","Blue hole
"
"A thermal that is not marked by an often typical cumulus cloud. 
","Blue Thermal
"
"A very strong thermal. A good boomer can take a hang glider pilot up as high as multiple thousands of feet. 
","Boomer
"
"See ,
","Bunny hill
"
"The chordwise curvature of an airfoil.
","Camber
"
"The open and closable (locked) metal link used to secure a pilot's harness to the hang glider (keel) frame by way of two hang straps. 
","Carabiner
"
"The most common hang glider speeds, used for reference:  Minimum Sink (Vms), Best Glide (Vbg), Design Maneuvering Speed(Va), Velocity not to Exceed (Vne).  More here:  ,
","Cardinal Speeds
"
"Slang for catabatic flow. See Catabatic Winds.
","Cat flow
"
"a.k.a ""Downslope Winds""--Winds sliding down a slope in the evening due to cooling.
","Catabatic Winds
"
"Center of gravity.  The point on a glider from which, were it suspended by that single point, it would be in perfect balance.
","CG
"
"The straight line distance from the leading edge of a wing to the trailing edge.
","Chord
"
"Air between 18,000 and 60,000 feet, covering the entire US.  Hang Gliders are not allowed in Class A Airspace
","Class A Airspace
"
"""Big City"" Airspace, surrounding the nation's busiest airports and usually going as high as 10,000' MSL.  Class B airspace has different radii at different altitudes, often looking like an ""inverted wedding cake.""  Intruding into Class B airspace in a hang glider is a very serious matter, unless permission is obtained prior to entry.
","Class B Airspace
"
"Class B Airspace lines on a sectional are solid blue, with the tops and bottoms of the airspace's circles in listed inside (e.g. 90/40 means 9,000 feet is the top, 4,000 feet is the bottom)
",
"""City"" Airspace, surrounding airports in mid-sized cities, is shown on a sectional by solid magenta lines.  The altitude limits are shown the same was as Class B airspace.  Hang gliders may fly in Class C airspace only with prior permission, usually by phone, sometimes by radio.
","Class C Airspace
"
"""Diminutive"" airports are surround by this class of airspace, shown on a sectional by dashed blue circles with the upper limit (divided by 100) altitude shown in a dashed blue box.  Again, hang gliders may only fly in Class D airspace with prior permission.  Since Class D airspace may be flown , without flying , it, it is recommended to give Air Traffic Control courtesy notice of such an overflight.  
","Class D Airspace
"
"Class ""Everywhere"" airspace is airspace that is not Class A, B, C, D or G (or little cat Z).  Its common lower limits are ground level, 700' AGL, 1200' AGL, and 14,500 MSL.  The upper limits are the airspace floor above it.  Non-standard class E floors are shown as a staggered blue line with the lower limit written next to it.  Most of the country has Class E airspace with a 1200' AGL limit.  Class E airspace with a 700' AGL limit is shown on a sectional by a broad magenta line with a fuzzy side on the 700' side.  Class E airspace, where it is 14,500' MSL, is shown by a shaded blue line with the fuzzy side on the 1200' AGL side (sharper is higher).
","Class E Airspace
"
"Surface area Class E is shown by dashed magenta lines.  Surface Class E extends from the surface to the top of the Class D airspace of the associated airport. For hang gliders, the rule says that they may not fly through this airspace , without permission from Air Traffic Control. What this means is that hang glider pilots should treat Class E surface airspace as though it were a solid column, extending from the surface to 18,000 MSL.
",
"Class ""Ground"" airspace is the low lying airspace beginning at the surface and rising to the other classes of airspace.  It is completely uncontrolled and where hang glider pilots fly most comfortably.
","Class G Airspace
"
"(Jam Cleat) A piece of sailboat hardware, used to lock a rope under tension at various settings. It is usually the device which will hold any desired VG setting, in flight. 
","Cleat
"
"A type of foot launch made from a cliff or steep drop-off.
","Cliff Launch
"
"The altitude at which clouds begin to form. The altitude of the bottoms of such clouds.  
","Cloud Base
"
"Cloud suck is a phenomenon where pilots can get sucked into clouds as the lift increases strongly near the cloud. Extending the concept, pilots joke around and talk about ""tree suck,"" ""ground suck,"" and all kinds of variants on the ""suck"" theme to explain their misfortunes.
","Cloud suck
"
"A harness that supports a pilot from the bottom and is open in the back. Imagine a custom fit cushioned hammock in which you lay stomach down and which uses lines to support it from above. A pilot gets into a cocoon harness by entering it from the back.
","Cocoon Harness
"
"The triangular frame that the pilot uses to control the glider is called the ""control frame."" It consists of two ""downtubes"" connected by a ""basetube."" The tops of the downtubes are bolted onto the ""keel."" During flight, the pilot holds onto the base tube, using it in much the same way as a bicycle rider uses the handlebars of the bike.  See also: ""Triangle control frame"" (TCF) for more.
","Control frame
"
"Airspace where specific, sometimes restrictive, FAA regulations apply.
","Controlled Airspace
"
"Turn in which the pitch and roll (and in powered, three axis aircraft, yaw and speed) are set in a coordinated manner to maintain constant or minimum change in altitude during the turn. 
","Coordinated Turn
"
"Flying a hang glider at some angle to the prevailing wind. Crabbing can allow a pilot to stay in ridge lift, thusly flying parallel to the slope while not drifting either backward or forward in relation to the ground. Similar to how a surfer cuts across the up slope of a wave, while staying in the wave.
","Crabbing
"
"The ""crossbars"" form a triangle with the leading edges and keel to hold the wings (leading edges) apart.
","Crossbar
"
"Ineffective and improper method of turning a hang glider. The pilot properly moves their shoulders in the wanted turn direction while mistakingly swinging their hips and feet in the opposite direction. This effectively results in no true shift in weight - and little or no turn. See also Uncoordinated Flight
","Cross Control
"
"Cumulus clouds. Often associated with the presence of thermal lift.
","Cumies
"
"A large, over developed cumulus cloud. Short for Cumulo-Nimbus. Also known as Anvil Head storm clouds. These are very dangerous and often produce serious thunder, lightening and/or rain and hail. They can and do produce lift so strong that a hang glider pilot can do nothing to counter it.  On rare occation pilots have been drawn up into Cu-Nims and been killed by a combination of turbulence, exposure - and even lack of oxygen, due to extreme and uncontrolable altitude gains. The greatest danger of a Cu-Nim is, however, sudden increase in wind speed near ground at sometimes great distances to the cloud itself. Do not fly when you see such a cloud! Even if you think you are far enough away, there may be sever turbulences developing within seconds. 
","Cu-Nim
"
"(See ,)
",
"Dry Adiabatic Lapse Rate.  ,
","DALR
"
"Downwind, Base, and Final approach to a landing zone.  See ,
","DBF
"
"The author of many hang gliding books and articles.  Known for his thoroughness.  
","Dennis Pagen
"
"See Dennis Pagen
","Dense Pages
"
"The tendency for new pilots to fly too fast on early high flights, since the ground does not appear to be moving fast at higher altitudes.
","Dive Syndrome
"
"A glider that has fabric that covers both the upper surface of the airfoil and a large portion of the lower surface.  This added surface creates a more efficient wing.  While there are double surface gliders suitable for Novice rated pilots, most double surface gliders require Intermediate or Advanced level skills.  Gliders for Novice rated pilots typically have 60 percent of their lower wing area covered by fabric, while gliders for expert pilots may have 80 percent or more.    They are heavier, more complex, and more costly than single surface (SS, S.S.) gliders.  They are also not suitable for beginning pilots.
","Double Surface, D.S., DS
"
"See ,
","Downtube
"
"Altitude above or below sea level - on the ground or in the air.
","Elevation
"
"A very nice, large, smooth thermal.
","Elevator
"
"Environmental Lapse Rate.  ,
","ELR
"
"Making a series of base legs, rather than a normal DBF approach; S-turns.
","Ess’ing
"
"Foundation for Free Flight, new name for USHGF. FFF provides grant funding for site preservation, education and competition for foot-launched pilots. Tax-deductible charity supported by pilot contributions, headquartered in Dunlap, CA.  The website can be found at ,
","FFF
"
" the last segment of a flight where the pilot uses all remaining altitude to extend as far as possible in distance over the ground. Also commonly used in reference to competition flying when a days task or round can be successfully completed because the pilot has the required amount of altitude necessary to achieve the designated target or goal. 
","Final Glide
"
"the act of pitching the nose of the glider sharply up when landing after bleeding off the air speed in ground effect. A well timed flare produces a no step landing . A badly timed flare leads to a chorus of pilots yelling ,. 
","Flare
"
"Flex Wing -  A hang glider as originally based on the designs of Francis Rogallo.  A flex wing glider consists of an internal frame of aircraft aluminum alloy tubing, (held together by AN bolts, plates and stainless steel aircraft cables).  The main parts of the frame include - two leading edge tubes (left and right), as well as two cross tubes, (sometimes also referred to as cross bars or cross spars) and a central keel tube. These structural members are sometimes located inside a very strong, yet flexible, Dacron® polyester or similar light weight composite fabric “sail”.  Pilot input is given by way of a , located below the main airframe. Together, these components create a highly unique yet basic aircraft capable of being controlled simply by the shifting of the pilot’s weight from side to side, or front to back.  The flexibility of the frame and sail combination allow for this simple mode of control.  This, in turn,  allows the pilot a very direct feel of, and connection with, the air through which she or he flies.  Piloting a flexwing hang glider is probably the closest a person can come to actually being a bird.
","Flex Wing
"
"To trip with alternate flying a hang glider and hiking episodes without use of cars, trucks, other aircraft, buses, or trains is to fly-hike or ,. A fliker carries items needed for intended faced conditions and durations. The term ""flike"" was first used in hang gliding in ,. A mismatch competing term is , in the powered sector. Or bivouac.  A fliker would pilot-energy wheel or carry his or her hang glider to launches from landing points; an advanced self-kiting launching to soaring could be used by flikers. Conceived cross-ocean (XO) flikers would hop across oceans with many launches off water without the use of other vehicles or aircraft beyond his or her integrated system.
","Flike, fliking, fliker
"
"Refers to hitting big sink and losing lots of altitude.
","Flushed
"
"The wires on the underside of the glider that give support and strength to the frame of the hang glider during normal flying conditions. This total system, of course, then supports the weight of the pilot during flight.
","Flying Wires
"
"A method of launching a hang glider.  In this method, the pilot runs down a slope, usually near or at the top of a hill or mountain, until the glider has enough airspeed to lift him or her off the ground.  This is a standard and very natural way of getting airborn.        
","Foot Launch
"
"Feet per minute.  Generally used when referring to vertical speed such as ""300 fpm climb"".
","fpm
"
"The single greatest threat to a pilot's airtime, or, hopefully, a driver.
","Girlfriend
"
"A wind effect where thermal winds blow up a cliff or mountain to provide smooth soaring above the ridge by riding this wind.  Also known as a wonderwind.
","Glassoff
"
"The angle between a glider's path and horizontal.
","Glide Angle
"
"The vertical flight path of a glider.
","Glide Path
"
"Glide Ratio.  The ratio of the distance traveled forward to the distance dropped.  
","Glide Ratio
"
"Global Positioning System. The US government operates a number of satellites that send out signals, which, when read by a GPS receiver, allow the receiver to compute its whereabouts (in latitude and longitude) anywhere on our planet.
","GPS
"
"The increase of aerodynamic efficiency of a wing near the ground (starts at a height of about two wing span's lengths). With the elevated wing efficiency the glider will seem to 'float' over the ground before reaching stall speed. Other factors may include the disturbance of heated air causing lift and the illusion of less drag due to the reduction of headwinds near the ground.
","Ground Effect 
"
"(see also ,, although the article is currently seriously flawed)
",
"When a wing touches the ground on landing and the glider loops around that wing.
","Ground Loop
"
"The velocity of a glider over the ground, irrespective of airspeed.
","Ground Speed
"
"The track over the ground.  The ground track and compass heading may not be the same in terms of the compass if crosswinds exist at the altitude of the glider.
","Ground Track
"
"These are the common slang terms for pilot proficiency ratings for hang gliding. The formal rating terms are Beginner, Novice, Intermediate, Advanced, and Master. H1 (or Hang 1) is the Beginner rating, H2 is called Novice, H3 is Intermediate, H4 is Advanced, and H5 is Master. Practically (though loosely) speaking, H1 doesn't allow you to do very much, H2 means you can take high flights under supervision, H3 means you can fly almost anywhere you'd want to, and H4 is required for a very few sites. H5 is pretty much a badge of honor, and can only be attained by pilots who have done lots and lots of flying from lots of places.
","H1, H2, H3, H4, H5 - or Hang Ratings
"
"Height Above Ground Level
","HAGL
"
"The act of a pilot to check that one is properly connected to the hang glider before flight(and hanging at the correct distance above the base tube).  This is accomplished by the pilot laying down in flight position to ensure all connections are properly made and putting pressure on that system.
","Hang Check
"
"An air sport, hobby, a vocation, passive experience, or even profession wherein humans pilot hang gliders. It can be done recreation ally or competitively. Although it started out as simply gliding down small hills on low performance kites, the activity has evolved to the point that it is possible to soar for hours, gain thousands of feet of altitude in thermal updrafts, perform aerobatics, and fly cross country over large distances. The sport is closely related to paragliding and gliding (flying sailplanes) but usually using a (much simpler and less expensive (out)) craft often consisting of an aluminum- or composite-framed fabric wing, with the pilot mounted on a harness hanging from the wing frame and exercising control by shifting body weight; there are alternatives to such arrangements and choices of materials. Sport categories have evolved where complex and expensive systems may also be used. Sport, hobby, and a vocational hang gliding may involve very low cost constructions or extremely expensive assemblies.  See ,.
","Hang Gliding
"
"A fairly consistent location to find lift... not necessarily related to a physical house.
","House Thermal
"
"Indicated Air Speed (the aircraft itself can distort the indicator readings).  See TAS.
","IAS
"
"see ,
","Intermediate Pilot Rating
"
"Lift lost from a wing due to air escaping over the wingtips.  This effect is lessened by ground effect.  Induced Drag is the drag created by any object creating lift.  Do not confuse this with the other major type of drag - parasitic drag.
","Induced Drag
"
"A piece of sailboat hardware, used to lock a rope under tension at various settings.  It is usually the device which will hold any desired VG setting, in flight.
","Jam Cleat (sometimes Jamb Cleat)
"
"Hang glider pilots don't do this. They launch.  Parachutists jump. The closest hang glider pilots come to jumping, is when they launch from a cliff launch site. But even here the pilot always attains some forward speed before leaving the ground.
","Jump
"
"Improper footlaunch technique where the pilot tries to launch with insufficient airspeed by jumping into the air while running with the glider.  If the pilot has almost enough speed to launch, the result will be the glider mushing close to the ground at a low rate of speed.  If the glider is not moving fast enough to support the pilot, the glider will immediately land.
","Jumping into the Glider
"
"The ""keel"" is the main fore and aft support for the sail and also suspends the pilot.
","Keel
"
"Main structural member positioned above the hang glider sail to support the air frame (by way of cables) at those times when there is a negative, or downward force (or wind) encountering the wing. Typically such forces occur only while the glider is being assembled or moved while on the ground(see, ground handling).
","King post or kingpost
"
"The wires on the upper side of the glider that support the weight of the glider while NOT in flight, during assembly and ground handling.
","Landing Wires
"
"A type of reserve parachute, stands for Low Aspect Ratio Annular.
","LARA
"
"The location that gliders take-off from.
","Launch (noun)
"
"The act of leaving the ground. There are many types of launches. Foot launch, scooter tow, aerotow, static tow, truck tow.
","Launch (verb)
"
"A pilot who sits on launch too long preventing other pilots from launching.
","Launch Potato
"
"The forepart of the airfoil and holds the sail tight from side to side.
","Leading Edge
"
"Aerodynamic forces pulling an airfoil upward. The real reason an airfoil creates lift is that it deflects air flow downward, resulting in an reaction force that has an upward component. 
,Moving air masses that have an upward velocity component. If strong enough it can carry a hang glider up.
","Lift
"
"One of the several publications of ,.
","
"
"Winds that are typically less than a few knots and coming from lots of different directions.
","Light and variable (L&V)
"
"Lift-to-Drag ratio.  The combination of parasitic and induced drag define the minimum drag for the aircraft.  The point where the sum of these two are at a minimum is the L/D Max.  Since parasitic drag goes up with airspeed and induced drag goes down with airspeed the sum of these two curves create a third parabolic curve whose low point is the L/D max.
","L/D
"
"A term used to describe birds flying in the area. Locals make great thermal and lift indicators.
","Local
"
"A turn, when towing, that is difficult to correct.
","Lockout
"
"Lines that run from the king post to to battens at the trailing edge. Their purpose is to maintain a positive pitch momentum at all flight configurations (like sprogs on topless hang gliders).
","Luff Lines
"
"Landing zone.
","LZ
"
"see ,
","Master Pilot Rating
"
"Flying speed at which a hang glider and its pilot descends at the slowest rate through the air. Also known as Min Sink.
","Minimum Sink Speed
"
"Military Operations Areas are shown on a sectional chart by a line of magenta hash marks with a sharp outer edge.  Permission to fly in a MOA is not required, but current activity can be found out by calling 1-800-WXBRIEF.
","MOA
"
"Mean Sea Level. When we say 5000' MSL we mean 5000 feet above sea level.
","MSL
"
"Military Training Routes are shown as thin, gray lines on a sectional chart.  Generally, they mean that a military aircraft may be traveling at high speed toward your slow-moving, thermalling ass.
","MTR
"
"Flying very close to stall speed.
","Mushing
"
"Trade name of a smooth, durable plastic material, typically used in narrow sheets, to smooth airfoil contours in hang gliders.  Also used as a part of composite sail materials.
","Mylar
"
"One or more aluminum plates at the center front of the hang glider frame. These plates create a mechanical connection between the two leading edge tubes and the keel tube.  This nose plate arrangement allows the wing(s) to be easily folded and ""broken down"" for transport.
","Nose Plate
"
"this is accomplished by the pilot timing and performing his/her flare so well that all forward momentum is stopped. Resulting in the pilot not have to take any steps when landing the glider.
","No Step landing
"
"see ,
","Novice Pilot Rating
"
"NOTice to AirMen.  Alerts that may affect aviation.  Hang Glider pilot are advised to call 1-800-WXBRIEF and ask for any ""NOTAMS affecting flying under Part 103"" in their area.
","NOTAMS
"
"A nut (as in nut and bolt combination) that incorporates a nylon insert which prevents such a nut from loosening once installed on a bolt.
","Nyloc
"
,"Over Develop, or O.D. 
"
"The condition where cumulus clouds grow to cover the whole sky, sometimes resulting in rain. Prior to causing rain, this condition stops the Sun's heating of the ground.  It can quickly, or eventually, shut down thermal lift.
",
"See ,
","Oh shit
"
"See Paraglider
","Panties
"
" Device invented solely to give Wingspan apoplectic fits.
","Paraglider
"
"See Parasitic Drag.
","Parasite Drag
"
"Drag created by any part of the aircaft that does NOT produce lift.  Also known as Parasite Drag.
","Parasitic Drag
"
"The section of the Federal Aviation Administration regulations that pertain to the operation of ultralight aircraft, including hang gliders.
","Part 103
"
"A type of reserve parachute, stands for Pulled Down Apex.
","PDA
"
"Pilot Induced Oscillation. A glider can sometimes get into pitch or roll oscillations (roll is more common). More often than not, it is caused by the pilot over controlling the glider or holding on too tightly to the ,. Relaxing, slowing down, or even letting go can quickly eliminate the condition.
","PIO 
"
"Rotation about the lateral axis.  In a Hang Glider this axis is approximately defined by the cross bar.  Pitch is controlled by pushing away or pulling in on the base tube of the control frame.
","Pitch
"
"A harness that totally encloses a pilot and opens in the front.  You get into this harness by slipping it on like a coat (with leg loops); then once in flight kicking your legs backward into it.
","Pod Harness
"
"A complete visual and tactile check of one's glider before launch and the best way, save possibly a hang check, to ensure one's survival in flight.
","Preflight Inspection (or simple Preflight)
"
"A prohibited area on a sectional chart, clearly marked with the words ""Prohibited Area"" and outlined by a wide blue border with a sharp outer edge.  No type of flight is allowed there without specific permission.
","Prohibited Area
"
"To be horizontal, face or belly down; the normal flying position.
","Prone
"
"Or just ""Q"" for the launching lineup waiting for a turn to launch or be towed. Queueing challenges have confronted some site mangers, competition managers, etc.
","Queue
"
